RC1,RC2,tratamiento
-0.5899226571348575,1.373227557824896,Levadura
-0.8652885432788501,1.5543612383096566,Levadura
-0.670266606817101,1.5583962533932834,Levadura
-0.0900504561622199,-1.5653843748600988,Lectina marina
-0.4591442616378381,-1.1601567150868322,Lectina marina
-0.28894715391854464,-1.5140333777090271,Lectina marina
-0.6494931090523228,-0.9769876768932348,Lectina marina
1.4141776752848625,0.3136773153303136,Echium/Bacalao
1.6419585086926667,0.17534441902769435,Echium/Bacalao
1.4824109464573414,0.2361912147760348,Echium/Bacalao
1.7466663258212245,0.1556644198929248,Echium/Bacalao
-0.6824349176754226,0.005133372144301124,Enriquecedor comercial
-0.6541673366325164,-0.012998024035185712,Enriquecedor comercial
-0.6703318081962379,-0.1300328605262721,Enriquecedor comercial
-0.6651666057501774,-0.012402761588453631,Enriquecedor comercial
