GRUPO CLASE;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7
T1;8;0,1290;0,0072;0,0010;;T2;8;0,1298;0,0048;0,0007;;T3;8;0,1006;0,0188;0,0027;;T4;8;0,1222;0,0060;0,0009;;T5;8;0,1404;0,0047;0,0007;;T6;8;0,1046;0,0029;0,0004
T1;9;0,1362;-;-;;T2;9;0,1346;;;;T3;9;0,1194;0,0106;0,0015;;T4;9;0,1282;;;;T5;9;0,1451;;;;T6;9;0,1075;0,0021;0,0003
T1;10;-;-;-;;T2;10;;;;;T3;10;0,1299;0,0071;0,0010;;T4;10;-;;;;T5;10;;;;;T6;10;0,1096;;
T1;11;-;-;-;;T2;11;;;;;T3;11;0,1370;0,0010;0,0001;;T4;11;-;;;;T5;11;;;;;T6;11;;;
T1;12;-;0,0126;0,0018;;T2;12;;0,0124;0,0018;;T3;12;0,1380;0,0105;0,0015;;T4;12;-;0,0124;0,0018;;T5;12;;;;;T6;12;;0,0086;0,0012
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7;;Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7;;Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7;;Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7;;Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7;;Grupo clase;Semana;Grupo E1-E       (Oscuridad)                 (masa corporal media);DX;DX/7
O1;1;0,0300;0,0130;0,0019;;O2;1;0,0247;0,0108;0,0015;;O3;1;0,0508;0,0009;0,0001;;O4;1;0,0211;0,0104;0,0015;;O5;1;0,02;0,0051;0,0007;;O6;1;0,0391;0,0286;0,0041
O1;2;0,0430;0,0031;0,0004;;O2;2;0,0355;0,0015;0,0002;;O3;2;0,0517;0,0060;0,0009;;O4;2;0,0316;0,0033;0,0005;;O5;2;0,026;0,0099;0,0014;;O6;2;0,0677;0,0040;0,0006
O1;3;0,0461;0,0117;0,0017;;O2;3;0,0370;0,0222;0,0032;;O3;3;0,0577;0,0105;0,0015;;O4;3;0,0349;0,0116;0,0017;;O5;3;0,036;0,0098;0,0014;;O6;3;0,0717;0,0017;0,0002
O1;4;0,0578;0,0137;0,0020;;O2;4;0,0591;0,0112;0,0016;;O3;4;0,0682;0,0104;0,0015;;O4;4;0,0465;0,0119;0,0017;;O5;4;0,045;0,0091;0,0013;;O6;4;0,0734;0,0176;0,0025
O1;5;0,0715;0,0118;0,0017;;O2;5;0,0704;0,0159;0,0023;;O3;5;0,0786;0,0099;0,0014;;O4;5;0,0583;0,0110;0,0016;;O5;5;0,054;0,0012;0,0002;;O6;5;0,0910;0,0275;0,0039
