hora,especie,estrato,replica,par,tleaf
11:30,Rosalillo 3,Media,2,247.3,17.5
11:30,Rosalillo 3,Media,3,62.6,25.7
11:30,Rosalillo 3,Apical,1,1056.7,16.3
11:30,Rosalillo 3,Apical,2,1090.9,18.5
11:30,Rosalillo 3,Apical,3,1076.6,21.4
12:00,Rosalillo 1 ,Basal,1,27.6,9.8
12:00,Rosalillo 1 ,Basal,2,45.6,10.3
12:00,Rosalillo 1 ,Basal,3,17.5,11.8
12:00,Rosalillo 1 ,Media,1,26.5,12
12:00,Rosalillo 1 ,Media,2,33.8,11.4
12:00,Rosalillo 1 ,Media,3,41.2,13.1
12:00,Rosalillo 1 ,Apical,1,53.5,9.7
12:00,Rosalillo 1 ,Apical,2,30,13.5
12:00,Rosalillo 1 ,Apical,3,92.8,10.9
12:00,Rosalillo 2,Basal,1,34.4,18.2
12:00,Rosalillo 2,Basal,2,65.2,19.7
12:00,Rosalillo 2,Basal,3,387.3,17.2
12:00,Rosalillo 2,Media,1,31.2,17.9
12:00,Rosalillo 2,Media,2,35.8,15.8
12:00,Rosalillo 2,Media,3,45.7,17.2
12:00,Rosalillo 2,Apical,1,97.5,16.8
12:00,Rosalillo 2,Apical,2,641.1,21.1
12:00,Rosalillo 2,Apical,3,491.5,19.9
12:00,Rosalillo 3,Basal,1,410.3,11.4
12:00,Rosalillo 3,Basal,2,93.1,13.2
12:00,Rosalillo 3,Basal,3,40.5,10.3
12:00,Rosalillo 3,Media,1,60.1,11.1
12:00,Rosalillo 3,Media,2,43.2,9.5
12:00,Rosalillo 3,Media,3,92.7,9.1
12:00,Rosalillo 3,Apical,1,28.1,11.6
12:00,Rosalillo 3,Apical,2,25.4,11.3
12:00,Rosalillo 3,Apical,3,21.4,11.4
12:30,Rosalillo 1 ,Basal,1,200.5,15
12:30,Rosalillo 1 ,Basal,2,42.8,11.6
12:30,Rosalillo 1 ,Basal,3,69.5,13
12:30,Rosalillo 1 ,Media,1,23,11
12:30,Rosalillo 1 ,Media,2,162.8,11.7
12:30,Rosalillo 1 ,Media,3,339.1,16.3
12:30,Rosalillo 1 ,Apical,1,344.6,11.5
12:30,Rosalillo 1 ,Apical,2,303.1,10.7
12:30,Rosalillo 1 ,Apical,3,477.7,19.8
12:30,Rosalillo 2,Basal,1,852,18.1
12:30,Rosalillo 2,Basal,2,460,16.5
12:30,Rosalillo 2,Basal,3,923,19.2
12:30,Rosalillo 2,Media,1,271,19.1
12:30,Rosalillo 2,Media,2,141,17.9
12:30,Rosalillo 2,Media,3,732,17.6
12:30,Rosalillo 2,Apical,1,589.8,15
12:30,Rosalillo 2,Apical,2,278,16.2
12:30,Rosalillo 2,Apical,3,364,16
12:30,Rosalillo 3,Basal,1,5.3,14.9
12:30,Rosalillo 3,Basal,2,83.7,14
12:30,Rosalillo 3,Basal,3,6,11
12:30,Rosalillo 3,Media,1,13.7,11.7
12:30,Rosalillo 3,Media,2,13.9,11.4
12:30,Rosalillo 3,Media,3,6.3,12.5
12:30,Rosalillo 3,Apical,1,28.7,11
12:30,Rosalillo 3,Apical,2,41.5,13.3
12:30,Rosalillo 3,Apical,3,44.7,12.7
